scenario_id,fill_assumption,min_fill_quality_score,summary_level,market,year,turnover_bucket,day0_volume_shock_bucket,range_pct_bucket,fill_quality_score_bucket,candidate_trades,fillable_trades,skipped_trades,fillable_ratio,raw_win_rate,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,profit_factor,total_net_pnl,max_drawdown,average_turnover_twd,average_volume_ratio_20d,average_range_pct,average_fill_quality_score
optimistic_all_scores,optimistic,,overall,,,,,,,4354,4354,0,1.0,0.7347266881028939,0.6858061552595315,0.016404408693384515,0.017426044487182733,0.011541978096800423,0.012560100339727206,2.055542550014842,4046452.6843899996,-830190.49645,984404412.8417547,6.258321420521935,0.08619214419275402,87.77446026642168
optimistic_all_scores,optimistic,,by_market,TPEX,,,,,,1670,1670,0,1.0,0.7628742514970059,0.7191616766467066,0.024195088173674457,0.0199626400996264,0.019302743967288365,0.015086805765877957,5.731931405804379,2562523.5043,-35776.1086500003,591012893.4838324,6.039099325033369,0.0898736501899995,86.61377245508982
optimistic_all_scores,optimistic,,by_market,TWSE,,,,,,2684,2684,0,1.0,0.7172131147540983,0.6650521609538003,0.011557003800655679,0.016187780878634227,0.006713185621496823,0.01132666472098843,1.4507696329509499,1483929.1800900002,-951933.1017500001,1229174844.0368853,6.39472264983114,0.08390149031220262,88.49664679582712
optimistic_all_scores,optimistic,,by_year,,2023,,,,,1153,1153,0,1.0,0.6738941890719862,0.6261925411968777,0.004179625974203006,0.013440860215053764,-0.0006359970457283928,0.008590454301075268,0.9962629621161776,-6800.111759999883,-830190.49645,777884424.2697312,7.313611885217236,0.08211900838494908,86.25758889852558
optimistic_all_scores,optimistic,,by_year,,2024,,,,,1290,1290,0,1.0,0.7643410852713178,0.7162790697674418,0.018867461329308468,0.020249389259601357,0.013995560603160685,0.01537243689087817,2.357696889750058,1453409.69563,-678499.0936200002,942995870.8806201,6.906244838778315,0.08825895282934448,87.54263565891473
optimistic_all_scores,optimistic,,by_year,,2025,,,,,1056,1056,0,1.0,0.7585227272727273,0.7035984848484849,0.017895426112775052,0.016988508159731387,0.013027646957642143,0.012124269966416598,3.012877220245288,1055897.16616,-213424.98816999997,1016699667.7736742,5.672326836060182,0.08515987543548321,88.21969696969697
optimistic_all_scores,optimistic,,by_year,,2026,,,,,855,855,0,1.0,0.7426900584795322,0.6982456140350877,0.027332270892212556,0.022727272727272728,0.022427612703914024,0.01784065909090909,4.686521643080227,1543945.9343599998,-65340.47635000013,1285493040.6140351,4.581408164202873,0.0898415222662925,89.61988304093568
optimistic_all_scores,optimistic,,by_turnover_bucket,,,100m_200m,,,,1179,1179,0,1.0,0.726039016115352,0.6751484308736218,0.019350492236193752,0.01818181818181818,0.014476738227099089,0.013312927272727272,2.4277902891089833,1384073.7253999999,-217939.5675800001,143341703.55640373,7.581945638266395,0.08253950364293712,73.26972010178118
optimistic_all_scores,optimistic,,by_turnover_bucket,,,200m_500m,,,,1362,1362,0,1.0,0.724669603524229,0.6776798825256976,0.01701839840546612,0.0187598980702429,0.012153369069107252,0.01388875322766702,2.02359572172415,1362323.51964,-322893.87182,319897478.23715127,6.246721367972734,0.08633111507339951,86.09030837004406
optimistic_all_scores,optimistic,,by_turnover_bucket,,,500m_1b,,,,826,826,0,1.0,0.725181598062954,0.6767554479418886,0.013509234179151036,0.01714361042317683,0.008658185080993775,0.012278767486136863,1.780574461519112,577804.74087,-150453.04258,708126757.087167,6.02613115862945,0.08746612213387471,98.00847457627118
optimistic_all_scores,optimistic,,by_turnover_bucket,,,>=1b,,,,987,987,0,1.0,0.7669706180344478,0.7173252279635258,0.014460870358966704,0.01592356687898089,0.009606027066559556,0.011063480891719745,1.9107856970390236,722250.6984799999,-265998.69361,3137268367.079027,4.887536694254955,0.08929739149714033,98.86018237082067
optimistic_all_scores,optimistic,,by_volume_shock_bucket,,,,2_5x,,,2465,2465,0,1.0,0.7545638945233266,0.7115618661257607,0.018310008830274428,0.019653179190751446,0.013440128148638661,0.014778551445086704,2.2211423742788767,2612972.68611,-605156.8130699999,1185816417.2073023,3.2529824378152523,0.08756137803210792,91.4685598377282
optimistic_all_scores,optimistic,,by_volume_shock_bucket,,,,5_10x,,,1305,1305,0,1.0,0.7226053639846743,0.6697318007662836,0.015757226256452393,0.016666666666666666,0.010897478796148635,0.011803683333333334,2.0724473795434104,1146012.3914100002,-189358.51793000003,763971387.6697319,6.9064275651860685,0.08645613960241316,90.59003831417624
optimistic_all_scores,optimistic,,by_volume_shock_bucket,,,,>=10x,,,584,584,0,1.0,0.678082191780822,0.613013698630137,0.009807266129622152,0.012629228471587862,0.004970285818665707,0.007781987109777139,1.459833388941207,287467.6068699999,-135018.1902,626843637.3082192,17.495277025976183,0.07982283696054072,65.89041095890411
