summary_level,market,year,month,turnover_bucket,volume_ratio_20d_bucket,consecutive_limit_up_count,day0_turnover_bucket,day0_price_bucket,day0_volume_shock_bucket,prior_5d_return_bucket,prior_20d_return_bucket,event_count,day1_observation_count,avg_day0_return,median_day0_turnover_twd,median_day0_close,avg_consecutive_limit_up_count,avg_prior_consecutive_limit_up_count,first_limit_up_rate,day_minus1_positive_rate,avg_overnight_cost_bps,avg_daytrade_open_to_close_cost_bps,total_overnight_net_pnl,overnight_profit_factor,overnight_max_drawdown,total_daytrade_open_to_close_net_pnl,daytrade_open_to_close_profit_factor,daytrade_open_to_close_max_drawdown,mean_day1_open_gap,median_day1_open_gap,t_stat_day1_open_gap,p_value_day1_open_gap_gt_0,mean_day1_high_gap,median_day1_high_gap,t_stat_day1_high_gap,p_value_day1_high_gap_gt_0,mean_day1_low_gap,median_day1_low_gap,t_stat_day1_low_gap,p_value_day1_low_gap_gt_0,mean_day1_close_gap,median_day1_close_gap,t_stat_day1_close_gap,p_value_day1_close_gap_gt_0,mean_day1_open_to_close,median_day1_open_to_close,t_stat_day1_open_to_close,p_value_day1_open_to_close_gt_0,mean_day1_open_to_low,median_day1_open_to_low,t_stat_day1_open_to_low,p_value_day1_open_to_low_gt_0,mean_day1_open_to_high,median_day1_open_to_high,t_stat_day1_open_to_high,p_value_day1_open_to_high_gt_0,mean_overnight_net_return,median_overnight_net_return,t_stat_overnight_net_return,p_value_overnight_net_return_gt_0,mean_daytrade_net_open_to_close_return,median_daytrade_net_open_to_close_return,t_stat_daytrade_net_open_to_close_return,p_value_daytrade_net_open_to_close_return_gt_0,win_day1_open_gap_rate,win_overnight_net_rate,win_day1_open_to_close_rate,win_daytrade_net_open_to_close_rate
overall,,,,,,,,,,,,8858,8840,0.12424201852472953,546154883.0,64.15,1.353240009031384,0.3532400090313841,0.7520885075637842,0.7090765409799051,51.46187058242804,35.60026522575976,10130753.1062,1.9753032231361718,-1752487.4214000013,-10194693.19235,0.6074411640614072,-10468085.00470001,0.017245753785443525,0.01747373252576856,27.900422664455906,1.3183719073828808e-171,0.052970945023954816,0.060109289617486183,79.54650415222628,0.0,-0.02429422923621344,-0.02233389864325619,-37.87200898231149,1.0,0.010272709831284543,0.008516682785299823,13.348083687478043,6.07676489836026e-41,-0.0065681045394340555,-0.006240264797507777,-12.724752026653022,1.0,-0.040503763486870514,-0.03418803418803429,-121.04680733710346,1.0,0.03533412377615738,0.02941176470588247,113.37208528087595,0.0,0.012099566727200722,0.012412556269941921,19.65076583862099,2.8473565461396043e-86,-0.010128131062010031,-0.009973426108418436,-19.668493844135387,1.0,0.7278166629035899,0.6773538044705351,0.41804018965906525,0.39828403702867465
by_market,TPEX,,,,,,,,,,,3725,3715,0.10069682809680491,406119026.0,70.5,1.392751677852349,0.392751677852349,0.7299328859060402,0.731006711409396,50.50481017600069,34.36060587686506,6717929.8614,3.12878114642921,-429366.0447000009,-5086292.0983,0.5869983226076907,-5409794.078800001,0.023200195626434498,0.019332161687170446,42.28082740518438,0.0,0.060331552420223804,0.06515580736543902,101.02022628307715,0.0,-0.020280163158847644,-0.022222222222222254,-29.29646312813774,1.0,0.015196641000929106,0.010000000000000009,16.514682203223103,1.438361526999266e-61,-0.007566192921140868,-0.007352941176470562,-9.288065482745537,1.0,-0.042307132873144145,-0.0358744394618834,-79.68663751186422,1.0,0.036635464987085635,0.03200000000000003,75.58416690289495,0.0,0.018149714608834435,0.01431615598885794,33.21505956574482,3.2630268390513133e-242,-0.011002253508827371,-0.010901666158536697,-13.538689089890362,1.0,0.745503355704698,0.7001342281879195,0.41261744966442954,0.3959731543624161
by_market,TWSE,,,,,,,,,,,5133,5125,0.1413286801931533,679009739.0,59.4,1.324566530294175,0.3245665302941749,0.7681667640755894,0.6931618936294565,52.15562266240414,36.49886707573906,3412823.2448,1.4719370571357548,-1918871.2461,-5108401.09405,0.6258793193735595,-5164612.882999989,0.012929509602169091,0.016483516483516425,13.128049209744935,1.1372016189935334e-39,0.04763540229670811,0.05689655172413799,45.035208696250315,0.0,-0.027203937622050305,-0.022371364653243853,-27.640072179780386,1.0,0.0067034602127031655,0.007407407407407307,5.8534602854761175,2.4072463073063424e-09,-0.005844612180791947,-0.00588235294117645,-8.772859605694373,1.0,-0.03919654060491801,-0.03305785123966942,-91.31433487175524,1.0,0.03439081009838207,0.028037383177569986,84.62022038154991,0.0,0.007713947335928676,0.011277286135693216,7.86380261733823,1.8632228725871224e-15,-0.009494498888365852,-0.009631974603174604,-14.284048604025399,1.0,0.7149814923046951,0.6608221313072278,0.42197545295149036,0.39996103643093706
by_year,,2023,,,,,,,,,,2006,2006,0.15024395894492992,434367029.5,56.9,1.2706879361914256,0.2706879361914257,0.80259222333001,0.7073778664007976,51.316972022047466,35.91711414557114,345223.0165,1.1106423757752755,-1556221.5772000004,-1743102.1825,0.6025928231620984,-1828360.31935,0.007553186449639586,0.01480698457442653,4.225848100692597,1.1902126568790907e-05,0.04090698391657987,0.05369493993447394,21.26563616494218,1.1813270056239763e-100,-0.03251441143145351,-0.02409174852957152,-18.81243900974513,1.0,0.0003182358174409835,0.0054274184046188,0.15947744695027802,0.4366463628169951,-0.006814417932489826,-0.005780395105041247,-6.437590762071657,0.9999999999393077,-0.039150458757087704,-0.032920419982986227,-57.05876204354609,1.0,0.03309257451078922,0.027076275302660546,52.44205586038246,0.0,0.002421489247434841,0.009827087240341679,1.3598887605632608,0.08693256411505175,-0.010406129347046942,-0.009435607406725012,-9.855701887578665,1.0,0.6859421734795613,0.6370887337986042,0.4167497507477567,0.39082751744765704
by_year,,2024,,,,,,,,,,2587,2587,0.14399139698619684,526111294.0,59.9,1.3494395052183996,0.34943950521839967,0.7553150367220719,0.6853498260533436,51.88130601106138,35.945810201291955,1541654.3647500002,1.5016519245350533,-1752487.4213999999,-2699295.8768499997,0.5912284005784053,-2772881.9445499983,0.01795479730016046,0.018789144050104456,13.890697268563668,3.6064854678797855e-44,0.05424912621602686,0.06212424849699394,38.94100144702838,0.0,-0.025794239591053317,-0.02314814814814814,-19.40174403043844,1.0,0.00914561186587744,0.006546644844517058,5.839754990480389,2.613882311150251e-09,-0.008387951693980716,-0.008264462809917439,-8.608679283089115,1.0,-0.04261575584947908,-0.03513513513513511,-66.71264541092538,1.0,0.03578726839224493,0.030188679245283012,64.2740029619799,0.0,0.012766666699054324,0.013621621621621621,9.915448043252669,1.7832632237840844e-23,-0.011982532714109914,-0.011753658536585365,-12.327070692999982,1.0,0.7518361035948976,0.7011982991882489,0.4020100502512563,0.38461538461538464
by_year,,2025,,,,,,,,,,2196,2195,0.0995293252523937,584434172.0,67.1,1.3210382513661203,0.32103825136612024,0.7627504553734062,0.697632058287796,51.1353198934786,35.25194223027953,2326462.2725,2.274750999378142,-408268.3070999987,-1848132.2970499997,0.6675395500276375,-1881367.0847499997,0.018229655551212566,0.016885553470919357,27.759030717954726,6.778658965334944e-170,0.05505091246668086,0.05749486652977409,69.41212817215846,0.0,-0.019956087302878754,-0.0196629213483146,-24.998657866710715,1.0,0.01306523376952777,0.00917431192660545,11.680914628963057,7.978460872211671e-32,-0.004877320597504736,-0.006451612903225823,-4.96318164022909,0.9999996532616475,-0.03733032556216922,-0.03246753246753242,-61.34765555666103,1.0,0.03634754109830113,0.03120124804992197,61.79490782751664,0.0,0.013116123561864706,0.011803683333333334,20.039545773098027,1.2451486363017117e-89,-0.008402514820532687,-0.009926578073089701,-8.572904454864874,1.0,0.7477231329690346,0.6903460837887068,0.4394353369763206,0.42213114754098363
by_year,,2026,,,,,,,,,,2069,2052,0.10056755736634944,695197705.0,73.8,1.472208796520058,0.472208796520058,0.6877718704688255,0.7525374577090382,51.42403716161562,35.227480230747936,5917413.45245,3.497929393175059,-344511.5321000032,-3904162.83595,0.5856013864580693,-4071473.9894499946,0.024774667102786092,0.0199128888558453,27.3951392221483,1.5668726133776942e-165,0.060928119829373927,0.06830146756209599,68.6238556111511,0.0,-0.01900768404715266,-0.022727272727272707,-17.429893907583686,1.0,0.018437859569995295,0.013531824507434287,13.835282132576083,7.806135249065229e-44,-0.005841604294430529,-0.004214489081987183,-5.208875584586703,0.9999999050057753,-0.04255868614310604,-0.037476591760299605,-57.62023581172537,1.0,0.03587009438161765,0.02867908621717763,49.22677735485824,0.0,0.01963226338662453,0.014844441809961412,21.812531672229735,8.82189627605636e-106,-0.009364352317505322,-0.007901551883908625,-8.367640512590311,1.0,0.7172547124214597,0.6727887868535525,0.416626389560174,0.3972933784436926
by_month,,,2023-01,,,,,,,,,54,54,0.09964908118889028,371444872.0,57.775,1.1111111111111112,0.1111111111111111,0.8888888888888888,0.6296296296296297,51.643457785348296,36.22081949895141,77602.9194,5.933841260811978,-5241.1228,38910.423749999994,1.7122863224369824,-15919.837000000003,0.013609404972181674,0.008921415375870434,4.183976788811282,1.432266858711186e-05,0.04906601019969113,0.04707864147952001,9.795927277063921,5.860844931163332e-23,-0.012284248213389271,-0.01521341791205244,-2.986742383540262,0.9985901639074927,0.01907392309645165,0.017656007991715073,3.0162552678588357,0.0012795885643349474,0.005473485486620078,0.0011235955056180247,0.9731539650543045,0.16523839323961956,-0.02546215187304001,-0.0185276679841897,-8.23823753421898,0.9999999999999999,0.0349736863604407,0.033111625216888485,9.463751718001069,1.4854408616097612e-21,0.008445059193646834,0.003973303680545687,2.592423714464544,0.004765115728956644,0.0018514035367249227,-0.0021771,0.3293154456139505,0.37095863536360263,0.7037037037037037,0.5555555555555556,0.5,0.48148148148148145
by_month,,,2023-02,,,,,,,,,128,128,0.09871186898193984,379836543.0,80.7,1.2109375,0.2109375,0.8359375,0.71875,50.8658371347464,34.95615879589529,233146.3723,7.350618482234189,-6085.788600000029,-80453.10349999998,0.7086278686823881,-128835.3914,0.020393753252389103,0.017094017094017033,9.277058162075253,8.711118532058891e-21,0.05372330919538374,0.05266239368914083,18.996110005335936,9.183145878781316e-81,-0.01510192327254592,-0.015547704318252087,-5.244010315079047,0.9999999214382952,0.018383204440543678,0.016749836768958137,4.626316784346125,1.8611291945542688e-06,-0.0018374457605805769,-0.00388679245283019,-0.5144618866906895,0.6965354496349729,-0.03469381085840539,-0.0286866359447005,-15.501272506009988,1.0,0.03283080771321673,0.028093594892751317,13.840281320934267,7.281775538536592e-44,0.015307169538914471,0.012229367521367522,6.994773380938259,1.3284401572445324e-12,-0.005333061640170103,-0.007175468037735849,-1.4949512752636607,0.9325364205577884,0.78125,0.75,0.4140625,0.3828125
by_month,,,2023-03,,,,,,,,,164,164,0.09879389670446508,413995547.5,53.2,1.2804878048780488,0.2804878048780488,0.8109756097560976,0.7621951219512195,51.78122318539632,35.83947441686019,103625.8637,2.244753386583573,-23577.43570000001,-172517.46860000002,0.49963085589050776,-181438.05519999994,0.01702628240018218,0.014256800243894086,8.739535852157791,1.1703504775187983e-18,0.047905937510875865,0.04352562280951022,18.245616995678787,1.1209561585540195e-74,-0.01762661862873996,-0.01870331886175186,-7.357173883582213,0.9999999999999061,0.008900928999901966,0.0034887611400067353,2.446851306466271,0.007205513925990015,-0.007831492184072194,-0.01167182662538696,-2.338642526142743,0.9903230290196184,-0.033958292512825,-0.02985413938600312,-18.17519402681124,1.0,0.030486881366374213,0.02332704763143323,14.421367505451457,1.8987157453510823e-47,0.011848160081642543,0.00920470967668071,6.1201597068390585,4.674080801016255e-10,-0.01141543962575821,-0.016141589267285865,-3.415400485300967,0.9996815585179115,0.7439024390243902,0.6524390243902439,0.3719512195121951,0.36585365853658536
