level,groups,top_1_trade_share,top_3_trade_share,top_5_trade_share,top_1_pnl_share,top_3_pnl_share,top_5_pnl_share,hhi_by_trades,hhi_by_abs_pnl
sector,4,0.8510334996436208,0.985744832501782,1.0000000000000002,0.9062641459852335,1.0061632196600416,1.0,0.7371318663956525,0.8099178732992199
industry,16,0.21881682109764788,0.5203136136849608,0.7020669992872416,0.2924890567426539,0.5701615705010936,0.7463111143502892,0.12536063389265137,0.14368407515062007
