strategy_name,family,config_hash,correlation_with_champion_daily_returns,combined_total_net_pnl,combined_final_equity,combined_total_return,combined_cagr_like,combined_max_drawdown_twd,combined_max_drawdown_pct,combined_daily_sharpe_like,combined_improves_cagr,combined_improves_drawdown,diversification_score
closed_limit_up_overnight_0c4ca2e9,closed_limit_up_overnight,110fe76b4764,0.8180333489797312,8222946.026159577,10222946.026159577,4.111473013079789,0.9460681634512764,-193739.07284426875,-0.018831869102135145,8.548029236888755,True,True,0.5716384558410599
closed_limit_up_overnight_469ec41b,closed_limit_up_overnight,5d2534c9d21b,0.8059567979520312,8183775.328766873,10183775.328766873,4.091887664383437,0.9430216459631873,-175238.6326466631,-0.017561263201292084,8.591605758735666,True,True,0.5788925777934246
closed_limit_up_overnight_d876251d,closed_limit_up_overnight,ee610253d3ba,1.0,5918087.903300003,7918087.903300003,2.959043951650002,0.7533836185271237,-185479.6464999998,-0.023134584074618957,8.421399554011762,True,True,1.8041124150158794e-15
closed_limit_up_overnight_c08357db,closed_limit_up_overnight,95bed5d12b2a,0.998110138990548,5909987.25558364,7909987.25558364,2.9549936277918203,0.7526513420133678,-185481.03496202547,-0.023158153669782966,8.4243629017676,False,False,0.0018898610094519874
closed_limit_up_overnight_f16ad211,closed_limit_up_overnight,59ca265e5ab8,0.4182646285210236,11438697.953425126,13438697.953425126,5.719348976712563,1.1739816258857978,-245184.53061186802,-0.048737034801359776,9.153915085703106,True,False,1.4229313861963264
closed_limit_up_overnight_bb5b8e8a,closed_limit_up_overnight,d0e4047d2482,0.4301845768799026,11082386.986570528,13082386.986570528,5.541193493285264,1.1502975940479239,-251098.4150811555,-0.05100792556657735,8.843855144222356,True,False,1.3636433741616996
closed_limit_up_overnight_2203a9f4,closed_limit_up_overnight,7ab7481e180e,0.5142563675668091,9443190.28549277,11443190.28549277,4.721595142746385,1.0360954606828012,-243844.03564637247,-0.05445745092233123,8.33811367713789,True,False,1.0511673167445479
closed_limit_up_overnight_28bd414e,closed_limit_up_overnight,94a513c4b8b7,0.5185475299232456,9224986.137110502,11224986.137110502,4.612493068555251,1.020178246086577,-223713.82617248595,-0.05039487704201244,8.27296224029529,True,False,1.0150417251956627
touched_limit_not_closed_overnight_ee84a134,touched_limit_not_closed_overnight,d703d396e281,0.1342318075296457,1841682.5159719135,3841682.5159719135,0.9208412579859568,0.3052479791638325,-82939.71698687691,-0.021200562679019055,6.4181715945493085,False,True,0.8677022138659543
touched_limit_not_closed_overnight_22d23702,touched_limit_not_closed_overnight,12f62727e6eb,0.13423180752964545,1841682.5159719135,3841682.5159719135,0.9208412579859568,0.3052479791638325,-82939.71698687691,-0.021200562679019055,6.41817159454931,False,True,0.8677022138659545
touched_limit_not_closed_overnight_6f53040a,touched_limit_not_closed_overnight,e47d2c89bde5,0.08457827770539103,1910722.4336306332,3910722.433630633,0.9553612168153165,0.31477034587117214,-68567.2000385304,-0.01732396888192102,7.378283644866409,False,True,0.9212323374873069
