sector,trades,avg_net_return,median_net_return,win_rate,profit_factor,net_pnl,max_drawdown,trade_share,pnl_share,top_symbols_by_trades,top_symbols_by_pnl
Technology/Electronics,1194,0.019360823893958063,0.0184140800405268,0.7378559463986599,6.189429899062024,1759344.7283999997,-49615.43849999999,0.8510334996436208,0.9062641459852335,8096 擎亞 (60); 4931 新盛力 (45); 5351 鈺創 (43); 3323 加百裕 (32); 1815 富喬 (32),"4931 新盛力 (104,969); 8096 擎亞 (87,997); 5351 鈺創 (82,096); 3297 杭特 (81,411); 5328 華容 (78,058)"
Industrials/Other,154,0.018827676396342516,0.0120217166979362,0.8051948051948052,5.614076260934456,194770.53880000004,-26701.774999999994,0.1097647897362794,0.1003291470735201,3162 精確 (31); 3379 彬台 (25); 4541 晟田 (23); 4510 高鋒 (23); 8936 國統 (10),"3379 彬台 (81,888); 4541 晟田 (39,484); 4510 高鋒 (38,974); 3162 精確 (27,034); 6425 易發 (26,451)"
Materials,20,0.002593880195244238,0.0015355901734103996,0.5,0.9433681529740788,-834.908199999998,-13152.196,0.014255167498218105,-0.00043007339871202184,4303 信立 (9); 6509 聚和 (5); 3430 奇鈦科 (3); 4721 美琪瑪 (3),"4303 信立 (6,901); 3430 奇鈦科 (3,374); 4721 美琪瑪 (2,042); 6509 聚和 (-13,152)"
Healthcare,35,-0.004719077058534772,-0.004798,0.42857142857142855,0.45878785079770834,-11964.754500000003,-22107.328,0.024946543121881683,-0.006163219660041632,4743 合一 (10); 6547 高端疫苗 (10); 3205 佰研 (5); 4123 晟德 (5); 6499 益安 (5),"3205 佰研 (6,204); 4123 晟德 (2,115); 4743 合一 (-11); 6499 益安 (-8,616); 6547 高端疫苗 (-11,656)"
