market,min_turnover_twd,min_volume_ratio_20d,market_regime_filter,ranking_method,momentum_cap,weak_sector_handling,strategy_name,family,config_hash,correlation_with_champion_daily_returns,combined_total_net_pnl,combined_final_equity,combined_total_return,combined_cagr_like,combined_max_drawdown_twd,combined_max_drawdown_pct,combined_daily_sharpe_like,combined_improves_cagr,combined_improves_drawdown,diversification_score,robust_score
BOTH,200000000.0,1.5,not_bear,fill_quality_score,none,avoid_healthcare_materials,focused_challenger_097dd332,closed_limit_up_with_market_regime_filter,98246d16f38c,0.46842553642678675,10932048.442854261,12932048.442854261,5.466024221427131,1.1401899758579117,-213674.0293989461,-0.0164778613504963,10.000732634896792,True,True,1.3118439009589138,9.515183680551601
BOTH,200000000.0,1.5,none,fill_quality_score,none,avoid_healthcare_materials,focused_challenger_d016be57,closed_limit_up_overnight,fc3c287e393f,0.4182646285210236,11438697.953425126,13438697.953425126,5.719348976712563,1.1739816258857978,-245184.53061186802,-0.048737034801359776,9.153915085703106,True,False,1.4229313861963264,8.712511162128065
BOTH,200000000.0,1.5,none,fill_quality_score,30_80,avoid_healthcare_materials,focused_challenger_8ad251d3,closed_limit_up_with_prior_momentum_filter,fbdd1a37a97c,0.4005568627359708,11256191.926092153,13256191.926092153,5.628095963046077,1.1618975316063964,-274714.12285257597,-0.05587147729988625,8.986211261319013,True,False,1.4164709634225765,8.517496288182139
TPEX,500000000.0,1.5,avoid_weak_day,volume_ratio_20d,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_2062c72f,closed_limit_up_with_market_regime_filter,509ab9fb5f46,0.8433735873589491,4953181.505489599,6953181.505489599,2.4765907527447997,0.6628193684633186,-102131.68184656743,-0.014639211638197848,8.319517015629645,False,True,0.16512178507747205,10.178023287718066
TPEX,500000000.0,2.0,avoid_weak_day,volume_ratio_20d,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_d097f6c6,closed_limit_up_with_market_regime_filter,da80d6a8120c,0.8433735873589491,4953181.505489599,6953181.505489599,2.4765907527447997,0.6628193684633186,-102131.68184656743,-0.014639211638197848,8.319517015629645,False,True,0.16512178507747205,10.178023287718066
TPEX,500000000.0,1.2,avoid_weak_day,volume_ratio_20d,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_40aab63b,closed_limit_up_with_market_regime_filter,8634fa3c72d1,0.8433735873589491,4953181.505489599,6953181.505489599,2.4765907527447997,0.6628193684633186,-102131.68184656743,-0.014639211638197848,8.319517015629645,False,True,0.16512178507747205,10.178023287718066
TPEX,500000000.0,3.0,avoid_weak_day,volume_ratio_20d,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_74f54ec6,closed_limit_up_with_market_regime_filter,8852236de912,0.6720960246043027,3856019.304690676,5856019.304690676,1.928009652345338,0.5502741289406474,-75083.3570530815,-0.012781726498463236,8.354863904186344,False,True,0.338256832971853,9.814556739010573
TPEX,500000000.0,1.2,avoid_weak_day,fill_quality_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_d3af8ee9,closed_limit_up_with_market_regime_filter,6af54be00525,0.8484033866340941,5000698.724677803,7000698.724677803,2.5003493623389015,0.6674474782030426,-102543.34524402022,-0.014597887260705164,8.309597662218524,False,True,0.16013331017981972,10.298562679443355
TPEX,500000000.0,1.5,avoid_weak_day,fill_quality_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_56adc4ce,closed_limit_up_with_market_regime_filter,0fdde05bbefc,0.8484033866340941,5000698.724677803,7000698.724677803,2.5003493623389015,0.6674474782030426,-102543.34524402022,-0.014597887260705164,8.309597662218524,False,True,0.16013331017981972,10.298562679443355
TPEX,500000000.0,2.0,avoid_weak_day,fill_quality_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_d5628716,closed_limit_up_with_market_regime_filter,00c923808fce,0.8484033866340941,5000698.724677803,7000698.724677803,2.5003493623389015,0.6674474782030426,-102543.34524402022,-0.014597887260705164,8.309597662218524,False,True,0.16013331017981972,10.298562679443355
TPEX,500000000.0,3.0,avoid_weak_day,fill_quality_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_30a998c4,closed_limit_up_with_market_regime_filter,d9d693f93a3e,0.6773689398365601,3869509.795955754,5869509.795955754,1.9347548979778768,0.5517306109425233,-75225.37482076325,-0.012776286083559777,8.35653996450514,False,True,0.3329893581544991,9.828742156765452
TPEX,500000000.0,3.0,none,volume_ratio_20d,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_47f75c14,closed_limit_up_with_prior_momentum_filter,81341ca525c5,0.7530889257922172,4462116.379131688,6462116.379131688,2.231058189565844,0.6138526847970394,-85508.69875328522,-0.013175771794221655,8.74677720725962,False,True,0.25686988648818015,10.006054364394704
TPEX,500000000.0,1.5,avoid_weak_day,day0_turnover_twd,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_d421d2ce,closed_limit_up_with_market_regime_filter,05e444ab24b5,0.842520760434054,4946552.036393914,6946552.036393914,2.473276018196957,0.6621721810861652,-102074.59218525141,-0.014645072408764807,8.266042952445636,False,True,0.1659687512318002,10.294019641531882
TPEX,500000000.0,2.0,avoid_weak_day,day0_turnover_twd,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_42e3e9d4,closed_limit_up_with_market_regime_filter,d72bbde12355,0.842520760434054,4946552.036393914,6946552.036393914,2.473276018196957,0.6621721810861652,-102074.59218525141,-0.014645072408764807,8.266042952445636,False,True,0.1659687512318002,10.294019641531882
TPEX,500000000.0,1.2,avoid_weak_day,day0_turnover_twd,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_00e55e53,closed_limit_up_with_market_regime_filter,492061c129a9,0.842520760434054,4946552.036393914,6946552.036393914,2.473276018196957,0.6621721810861652,-102074.59218525141,-0.014645072408764807,8.266042952445636,False,True,0.1659687512318002,10.294019641531882
TPEX,500000000.0,1.5,avoid_weak_day,composite_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_7b9bb145,closed_limit_up_with_market_regime_filter,e58c4f58a8ee,0.8429384352401588,4936587.7049159715,6936587.7049159715,2.4682938524579856,0.6611987470229703,-101988.42894306965,-0.014653850773843253,8.243159711230675,False,True,0.16554229806061696,10.233746991236936
TPEX,500000000.0,2.0,avoid_weak_day,composite_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_74a2cd13,closed_limit_up_with_market_regime_filter,829d40289f2a,0.8429384352401588,4936587.7049159715,6936587.7049159715,2.4682938524579856,0.6611987470229703,-101988.42894306965,-0.014653850773843253,8.243159711230675,False,True,0.16554229806061696,10.233746991236936
TPEX,500000000.0,1.2,avoid_weak_day,composite_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_771de1bf,closed_limit_up_with_market_regime_filter,40d9178d7829,0.8429384352401588,4936587.7049159715,6936587.7049159715,2.4682938524579856,0.6611987470229703,-101988.42894306965,-0.014653850773843253,8.243159711230675,False,True,0.16554229806061696,10.233746991236936
TPEX,500000000.0,3.0,none,fill_quality_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_b3d869f9,closed_limit_up_with_prior_momentum_filter,23916cb51c39,0.7660245178841945,4514596.741967852,6514596.741967852,2.2572983709839263,0.619188644539721,-86040.1559930006,-0.013150451654775306,8.740401853269066,False,True,0.2439596145356492,10.175505953519187
TPEX,500000000.0,3.0,not_bear,volume_ratio_20d,none,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_730eb165,closed_limit_up_with_market_regime_filter,0a81ff5e545a,0.6967164433614346,4188758.474098726,6188758.474098726,2.0943792370493632,0.5856354072977588,-82762.36391863413,-0.013318213525909903,8.728706230455613,False,True,0.31309992718727453,9.925676239887563
TPEX,500000000.0,3.0,not_bear,volume_ratio_20d,30_80,avoid_healthcare_materials_semiconductor_cap_25,focused_challenger_504788af,closed_limit_up_with_market_regime_filter,c06fddf755e4,0.6868063203547591,4088704.0123414267,6088704.012341427,2.044352006170713,0.5751231889121684,-81766.6601347588,-0.013375142622734827,8.704913666676637,False,True,0.3229531210971251,9.999660348153217
BOTH,500000000.0,1.5,avoid_weak_day,volume_ratio_20d,30_80,technology_industrials_only,focused_challenger_d6425731,closed_limit_up_with_market_regime_filter,4bae817d26d1,0.8620815081735841,5111305.706302102,7111305.706302102,2.555652853151051,0.6781489123946964,-99203.82504484989,-0.013910004595221938,7.964013396365539,False,True,0.14714307130581294,10.468419756416894
TPEX,500000000.0,1.2,avoid_weak_day,volume_ratio_20d,30_80,technology_industrials_only,focused_challenger_5518db04,closed_limit_up_with_market_regime_filter,8cde489b9c20,0.8620815081735841,5111305.706302102,7111305.706302102,2.555652853151051,0.6781489123946964,-99203.82504484989,-0.013910004595221938,7.964013396365539,False,True,0.14714307130581294,10.468419756416894
TPEX,500000000.0,2.0,avoid_weak_day,volume_ratio_20d,30_80,technology_industrials_only,focused_challenger_d3f538fd,closed_limit_up_with_market_regime_filter,1d758bb411ed,0.8620815081735841,5111305.706302102,7111305.706302102,2.555652853151051,0.6781489123946964,-99203.82504484989,-0.013910004595221938,7.964013396365539,False,True,0.14714307130581294,10.468419756416894
TPEX,500000000.0,1.5,avoid_weak_day,volume_ratio_20d,30_80,technology_industrials_only,focused_challenger_d2848a2a,closed_limit_up_with_market_regime_filter,de32ca578479,0.8620815081735841,5111305.706302102,7111305.706302102,2.555652853151051,0.6781489123946964,-99203.82504484989,-0.013910004595221938,7.964013396365539,False,True,0.14714307130581294,10.468419756416894
BOTH,500000000.0,2.0,avoid_weak_day,volume_ratio_20d,30_80,technology_industrials_only,focused_challenger_f20710ba,closed_limit_up_with_market_regime_filter,0e6567ba0fd7,0.8620815081735841,5111305.706302102,7111305.706302102,2.555652853151051,0.6781489123946964,-99203.82504484989,-0.013910004595221938,7.964013396365539,False,True,0.14714307130581294,10.468419756416894
BOTH,500000000.0,1.2,avoid_weak_day,volume_ratio_20d,30_80,technology_industrials_only,focused_challenger_57ec3527,closed_limit_up_with_market_regime_filter,3b2f85c9225e,0.8620815081735841,5111305.706302102,7111305.706302102,2.555652853151051,0.6781489123946964,-99203.82504484989,-0.013910004595221938,7.964013396365539,False,True,0.14714307130581294,10.468419756416894
