section,symbol,name,sector,industry,trades,avg_net_return,median_net_return,win_rate,profit_factor,total_net_pnl,max_drawdown,first_trade_date,last_trade_date,active_quarters,max_trades_single_quarter,trade_share,pnl_share,symbols,net_pnl,top_1_symbol_trade_share,top_5_symbol_trade_share,top_10_symbol_trade_share,top_20_symbol_trade_share,top_1_symbol_pnl_share,top_5_symbol_pnl_share,top_10_symbol_pnl_share,top_20_symbol_pnl_share,hhi_by_symbol_trades,hhi_by_symbol_pnl,symbol_hotness_bucket,scenario
symbol_summary,6189,豐藝,MISSING_SECTOR,MISSING_INDUSTRY,3,-0.013562983554826916,-0.0058312997925311204,0.3333333333333333,0.35052848649891283,-6287.9727,-9681.6759,2024-02-22,2026-02-02,3.0,1.0,0.0016025641025641025,-0.0006621241965375236,,,,,,,,,,,,,,
symbol_summary,1904,正隆,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.022665282511210763,-0.022665282511210763,0.0,0.0,-6570.6654,-6570.6654,2026-06-04,2026-06-04,1.0,1.0,0.0005341880341880342,-0.0006918917680243596,,,,,,,,,,,,,,
symbol_summary,5425,台半,Technology/Electronics,Semiconductor,5,-0.005559430408792215,0.0038853212951432126,0.8,0.6586509588991409,-6684.78,-19583.41520000003,2025-10-15,2026-05-11,2.0,3.0,0.002670940170940171,-0.000703908047585847,,,,,,,,,,,,,,
symbol_summary,3003,健和興,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.028019986503067605,-0.028019986503067605,0.0,0.0,-6850.886700000029,-6850.886700000029,2024-11-11,2024-11-11,1.0,1.0,0.0005341880341880342,-0.0007213991008273821,,,,,,,,,,,,,,
symbol_summary,6216,居易,MISSING_SECTOR,MISSING_INDUSTRY,2,-0.013010943038389667,-0.013010943038389667,0.5,0.3166560989993142,-6996.6065,-10238.778,2024-06-19,2024-10-30,2.0,1.0,0.0010683760683760685,-0.0007367434113226533,,,,,,,,,,,,,,
symbol_summary,2465,麗臺,MISSING_SECTOR,MISSING_INDUSTRY,5,-0.0015555567665051485,-0.004798,0.4,0.7914729307248701,-7095.628200000028,-34027.3722,2024-01-30,2026-05-05,3.0,2.0,0.002670940170940171,-0.0007471704069030092,,,,,,,,,,,,,,
symbol_summary,4729,熒茂,Technology/Electronics,Optoelectronics,1,-0.02531693445692884,-0.02531693445692884,0.0,0.0,-7435.5836500000005,-7435.5836500000005,2025-08-25,2025-08-25,1.0,1.0,0.0005341880341880342,-0.0007829677520775173,,,,,,,,,,,,,,
symbol_summary,5481,新華,Industrials/Other,Other,2,-0.013697623028596648,-0.013697623028596648,0.0,0.0,-7971.4415,-7971.4415,2024-09-20,2024-12-13,2.0,1.0,0.0010683760683760685,-0.000839393640884187,,,,,,,,,,,,,,
symbol_summary,8027,鈦昇,Industrials/Other,Electric Machinery,2,-0.014673454723958899,-0.014673454723958899,0.0,0.0,-8002.971600000001,-8002.971600000001,2025-06-05,2025-10-07,2.0,1.0,0.0010683760683760685,-0.0008427137637799573,,,,,,,,,,,,,,
symbol_summary,1732,毛寶,MISSING_SECTOR,MISSING_INDUSTRY,2,-0.014453260096930532,-0.014453260096930532,0.0,0.0,-8008.9691,-8008.9691,2025-01-09,2025-05-28,2.0,1.0,0.0010683760683760685,-0.0008433453011701775,,,,,,,,,,,,,,
symbol_summary,1810,和成,MISSING_SECTOR,MISSING_INDUSTRY,5,-0.005332301346363116,0.021415184210526315,0.6,0.755280845537146,-8326.4519,-30545.60665,2024-04-16,2026-06-05,3.0,2.0,0.002670940170940171,-0.0008767762739007815,,,,,,,,,,,,,,
symbol_summary,5608,四維航,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.02880043373493976,-0.02880043373493976,0.0,0.0,-8366.526,-8366.526,2025-12-04,2025-12-04,1.0,1.0,0.0005341880341880342,-0.0008809960809086052,,,,,,,,,,,,,,
symbol_summary,8034,榮群,Technology/Electronics,Communications/Internet,1,-0.02955768068833652,-0.02955768068833652,0.0,0.0,-8502.26685,-8502.26685,2025-11-20,2025-11-20,1.0,1.0,0.0005341880341880342,-0.0008952896069036483,,,,,,,,,,,,,,
symbol_summary,6412,群電,MISSING_SECTOR,MISSING_INDUSTRY,2,-0.015813214625534627,-0.015813214625534627,0.0,0.0,-8590.556400000001,-8590.556400000001,2026-02-04,2026-05-04,2.0,1.0,0.0010683760683760685,-0.0009045865059433675,,,,,,,,,,,,,,
symbol_summary,3545,敦泰,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.02985084205231388,-0.02985084205231388,0.0,0.0,-8901.5211,-8901.5211,2026-03-30,2026-03-30,1.0,1.0,0.0005341880341880342,-0.0009373311220481783,,,,,,,,,,,,,,
symbol_summary,6177,達麗,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.0319767448840382,-0.0319767448840382,0.0,0.0,-9375.5816,-9375.5816,2024-07-23,2024-07-23,1.0,1.0,0.0005341880341880342,-0.000987249743303114,,,,,,,,,,,,,,
symbol_summary,2485,兆赫,MISSING_SECTOR,MISSING_INDUSTRY,5,-0.006822558167894488,-0.00016497209302325573,0.4,0.377070515475609,-9421.3582,-11780.9095,2025-11-27,2026-03-03,2.0,3.0,0.002670940170940171,-0.0009920700241696676,,,,,,,,,,,,,,
symbol_summary,1308,亞聚,MISSING_SECTOR,MISSING_INDUSTRY,2,-0.016184649262377386,-0.016184649262377386,0.5,0.520659619380937,-9453.358100000001,-19721.5976,2026-03-19,2026-03-23,1.0,2.0,0.0010683760683760685,-0.000995439617055588,,,,,,,,,,,,,,
symbol_summary,6550,北極星藥業-KY,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.04029845492662473,-0.04029845492662473,0.0,0.0,-11533.4178,-11533.4178,2026-03-17,2026-03-17,1.0,1.0,0.0005341880341880342,-0.0012144701255074745,,,,,,,,,,,,,,
symbol_summary,3710,連展投控,Technology/Electronics,Electronic Components,1,-0.03968091439688716,-0.03968091439688716,0.0,0.0,-11727.69425,-11727.69425,2024-07-11,2024-07-11,1.0,1.0,0.0005341880341880342,-0.0012349274564310666,,,,,,,,,,,,,,
symbol_summary,00753L,中信中國50正2,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.040373035714285715,-0.040373035714285715,0.0,0.0,-11756.628,-11756.628,2024-09-30,2024-09-30,1.0,1.0,0.0005341880341880342,-0.001237974183394682,,,,,,,,,,,,,,
symbol_summary,6155,鈞寶,MISSING_SECTOR,MISSING_INDUSTRY,2,-0.02436135842880524,-0.02436135842880524,0.0,0.0,-12059.4488,-12059.4488,2026-01-19,2026-06-01,2.0,1.0,0.0010683760683760685,-0.0012698612459601491,,,,,,,,,,,,,,
symbol_summary,3188,鑫龍騰,Industrials/Other,Building Materials/Construction,2,-0.023325042669584246,-0.023325042669584246,0.0,0.0,-12752.1098,-12752.1098,2024-07-10,2024-07-23,1.0,2.0,0.0010683760683760685,-0.001342798523200217,,,,,,,,,,,,,,
symbol_summary,8271,宇瞻,MISSING_SECTOR,MISSING_INDUSTRY,1,-0.050501457647058934,-0.050501457647058934,0.0,0.0,-12877.871700000029,-12877.871700000029,2025-10-09,2025-10-09,1.0,1.0,0.0005341880341880342,-0.0013560412646950316,,,,,,,,,,,,,,
symbol_summary,3264,欣銓,Technology/Electronics,Semiconductor,2,-0.02527965350344111,-0.02527965350344111,0.0,0.0,-13394.97479999997,-13394.97479999997,2025-01-22,2025-02-06,1.0,2.0,0.0010683760683760685,-0.001410492276324666,,,,,,,,,,,,,,
