feature_name,feature_bucket,event_type,event_count,mean_next_open_return,mean_next_close_return,mean_open_to_close_return,mean_approx_net_open_to_close_return,win_next_close_rate,hit_plus_2_intraday_rate
foreign_net_buy_to_turnover,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
foreign_net_buy_to_turnover,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
foreign_net_buy_to_turnover,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
foreign_net_buy_to_turnover,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
foreign_net_buy_to_turnover,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
investment_trust_net_buy_to_turnover,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
investment_trust_net_buy_to_turnover,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
investment_trust_net_buy_to_turnover,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
investment_trust_net_buy_to_turnover,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
investment_trust_net_buy_to_turnover,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
dealer_net_buy_to_turnover,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
dealer_net_buy_to_turnover,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
dealer_net_buy_to_turnover,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
dealer_net_buy_to_turnover,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
dealer_net_buy_to_turnover,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
total_institutional_net_buy_to_turnover,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
total_institutional_net_buy_to_turnover,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
total_institutional_net_buy_to_turnover,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
total_institutional_net_buy_to_turnover,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
total_institutional_net_buy_to_turnover,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
margin_balance_change_1d,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
margin_balance_change_1d,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
margin_balance_change_1d,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
margin_balance_change_1d,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
margin_balance_change_1d,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
short_balance_change_1d,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
short_balance_change_1d,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
short_balance_change_1d,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
short_balance_change_1d,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
short_balance_change_1d,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
short_squeeze_proxy,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
short_squeeze_proxy,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
short_squeeze_proxy,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
short_squeeze_proxy,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
short_squeeze_proxy,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
margin_crowding_proxy,missing,closed_limit_up,27267,0.017375834257764976,0.013944080146108975,-0.0028235475469156235,-0.008173547546915624,0.580995342355228,0.5734770968570067
margin_crowding_proxy,missing,failed_limit_up,14017,-0.008739492735085225,-0.01199571808292571,-0.0030595603110486168,-0.008409560311048616,0.40643504316187484,0.5058143682671042
margin_crowding_proxy,missing,near_limit_8_9,1833,0.0013747878803856,-0.0032522190479906815,-0.004468815888904403,-0.0098188158889044,0.38461538461538464,0.45280960174577195
margin_crowding_proxy,missing,near_limit_9_10,532,0.002172677940670247,-0.0033712332558143735,-0.005144828491783629,-0.010494828491783625,0.38533834586466165,0.44360902255639095
margin_crowding_proxy,missing,touched_limit_not_closed,12066,0.000254325687438726,-0.003040466610860402,-0.00313664968173734,-0.008486649681737339,0.4041107243494116,0.5369633681418863
