fill_rate,iterations,mean_filled_trades,median_filled_trades,mean_total_net_pnl,median_total_net_pnl,p05_total_net_pnl,p95_total_net_pnl,mean_avg_net_return,median_avg_net_return,p05_avg_net_return,p95_avg_net_return
0.25,1000,350.437,351.0,484988.1906111499,485284.0685999999,412402.5782799999,556827.5704624999,0.01836739867280653,0.018360628889294205,0.01602930480228671,0.020712324244973466
0.5,1000,701.897,702.0,977827.9130604998,979040.6708249999,892223.9681274997,1060099.6011749997,0.01847852232506168,0.01849457885829079,0.01712076421105192,0.0197704731408909
0.75,1000,1052.378,1052.0,1454601.0583248998,1455504.0469999996,1384808.5426399997,1526510.1970124994,0.018331545593511057,0.018333843209726024,0.017585417599913975,0.019094480394613065
