month,start_equity,end_equity,monthly_return,net_pnl,positions_entered
2024-10,1000000.0,999394.54125,-0.0006054587499999542,-605.4587499999907,4
2024-11,999394.54125,1107579.4606999997,0.10825046063858479,108184.9194499997,13
2024-12,1107579.4606999997,1167620.1843999997,0.054208953696246454,60040.72369999997,14
2025-01,1167620.1843999997,1189163.3971499996,0.01845053129247698,21543.212749999948,7
2025-02,1189163.3971499996,1249967.005349999,0.05113141587247294,60803.608199999435,19
2025-03,1249967.005349999,1371687.200399999,0.09737872642159662,121720.19504999998,26
2025-04,1371687.200399999,1411890.9223499997,0.02930968659492983,40203.72195000062,13
2025-05,1411890.9223499997,1498366.4388499998,0.06124801507758648,86475.51650000014,14
2025-06,1498366.4388499998,1568472.5206499994,0.04678834227881268,70106.08179999958,20
2025-07,1568472.5206499994,1626717.3866499995,0.03713476980512387,58244.866000000155,12
2025-08,1626717.3866499995,1678344.8020499998,0.031737175629701575,51627.41540000029,20
2025-09,1678344.8020499998,1684632.87905,0.0037465942590102497,6288.077000000281,6
2025-10,1684632.87905,1751726.2245,0.03982668644567555,67093.3454499999,25
2025-11,1751726.2245,1906340.42575,0.08826390738891399,154614.20124999993,30
2025-12,1906340.42575,2008789.8755500005,0.053741424362699686,102449.44980000053,37
2026-01,2008789.8755500005,2325592.99615,0.15770844151295815,316803.12059999956,62
2026-02,2325592.99615,2356999.787600001,0.013504852956641278,31406.791450000834,10
2026-03,2356999.787600001,2527577.8457000004,0.07237084152378714,170578.05809999956,42
