section,symbol,name,sector,industry,trades,avg_net_return,median_net_return,win_rate,profit_factor,total_net_pnl,max_drawdown,first_trade_date,last_trade_date,active_quarters,max_trades_single_quarter,trade_share,pnl_share,symbols,net_pnl,top_1_symbol_trade_share,top_5_symbol_trade_share,top_10_symbol_trade_share,top_20_symbol_trade_share,top_1_symbol_pnl_share,top_5_symbol_pnl_share,top_10_symbol_pnl_share,top_20_symbol_pnl_share,hhi_by_symbol_trades,hhi_by_symbol_pnl,symbol_hotness_bucket,scenario
symbol_summary,3297,杭特,Technology/Electronics,Optoelectronics,6,0.025485885228032263,0.026842299454540062,1.0,inf,41195.10599999999,0.0,2025-05-21,2025-08-12,2.0,5.0,0.010327022375215147,0.013375664560947149,,,,,,,,,,,,,,
symbol_summary,5452,佶優,Technology/Electronics,Other Electronics,4,0.04143869103657317,0.049818556688995784,0.75,6.426319553136548,41050.86005,-7565.1386999999995,2024-02-26,2026-01-15,3.0,2.0,0.0068846815834767644,0.013328829253824137,,,,,,,,,,,,,,
symbol_summary,8088,品安,Technology/Electronics,Semiconductor,8,0.01766148184152944,0.014138221315024162,0.875,11.989714143124784,40108.47395,-3649.637600000002,2025-03-14,2026-06-02,6.0,2.0,0.013769363166953529,0.013022845325526944,,,,,,,,,,,,,,
symbol_summary,5475,德宏,Technology/Electronics,Electronic Components,5,0.03015776687155155,0.029305315263908702,0.8,12.709400305746678,40013.456399999995,-3417.2079999999987,2025-08-12,2025-12-03,2.0,3.0,0.008605851979345954,0.012991994018184683,,,,,,,,,,,,,,
symbol_summary,5498,凱崴,Technology/Electronics,Electronic Components,10,0.016567701099489927,0.011518111136091788,0.8,4.70508628179056,39338.02740000004,-9327.6016,2024-05-24,2026-04-21,5.0,5.0,0.01721170395869191,0.012772688556542337,,,,,,,,,,,,,,
symbol_summary,8043,蜜望實,Technology/Electronics,Electronic Components,3,0.0468160742849211,0.057653473354231974,1.0,inf,37610.075800000006,0.0,2024-08-06,2026-04-16,2.0,2.0,0.0051635111876075735,0.01221163887799187,,,,,,,,,,,,,,
symbol_summary,3615,安可,Technology/Electronics,Optoelectronics,4,0.03227383386769276,0.03455849482226798,0.75,30.708997773929067,37275.1962,-1254.6770000000033,2024-07-03,2026-05-25,3.0,2.0,0.0068846815834767644,0.012102906612612962,,,,,,,,,,,,,,
symbol_summary,2070,精湛,Industrials/Other,Electric Machinery,4,0.035589135091701196,0.04178516034358545,0.75,27.351297803147983,36716.29619999997,-1393.3391999999985,2024-09-12,2026-05-26,2.0,2.0,0.0068846815834767644,0.011921437024378045,,,,,,,,,,,,,,
symbol_summary,5386,青雲,Technology/Electronics,Computer/Peripheral,4,0.04028082862089582,0.03602446620405571,0.75,36.3296294772321,35546.5746,-1006.1405999999988,2024-03-07,2024-08-27,2.0,3.0,0.0068846815834767644,0.011541639391346248,,,,,,,,,,,,,,
symbol_summary,3581,博磊,Technology/Electronics,Semiconductor,5,0.026361453521978495,0.022323561881188118,0.8,8.103368919403815,34183.77239999997,-4812.3324,2024-06-26,2026-04-13,4.0,2.0,0.008605851979345954,0.011099150298342792,,,,,,,,,,,,,,
