strategy_name,family,event_type,market,entry_exit_rule,min_turnover_twd,min_volume_ratio_20d,min_close_location,min_price,max_price,max_consecutive_limit_ups,min_consecutive_limit_ups,only_first_limit_up,fill_assumption,min_fill_quality_score,sector_filter,market_regime_filter,prior_5d_return_min,prior_5d_return_max,prior_20d_return_min,prior_20d_return_max,ranking_method,initial_capital_twd,max_positions_per_day,fixed_notional_twd,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score,active_days,average_daily_exposure,average_daily_entry_notional,symbol_concentration,sector_concentration,oos_quarterly_consistency,positive_quarters,total_quarters,candidate_signals_after_strategy_filter,config_hash,pnl_vs_champion,cagr_vs_champion,maxdd_vs_champion,pf_vs_champion,median_return_vs_champion,correlation_with_champion_daily_returns,combined_total_net_pnl,combined_cagr_like,combined_max_drawdown_pct,combined_improves_cagr,combined_improves_drawdown,diversification_score,challenger_score
champion_tpex_closed_limit_up_overnight,closed_limit_up_overnight,closed_limit_up,TPEX,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,578,573,0.9913494809688581,2959043.9516499965,3959043.9516499965,2.9590439516499965,0.7533836185271228,-92739.8232499999,-0.023134584074618984,0.0030517136868054694,0.0012230036078384465,8.421399554011762,0.7643979057591623,0.8018018018018018,0.019714494593083092,0.01830393315143247,6.8580147963307345,1.7207207207207207,0.19853521940274038,0,0,2,3,0,1.2620212522872871,333,331268.28193832596,331268.28193832596,0.03315881326352531,0.8568935427574171,1.0,10,10,578,482d9e519437,0.0,0.0,0.0,0.0,0.0,1.0,,,,False,False,,
closed_limit_up_overnight_0c4ca2e9,closed_limit_up_overnight,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1047,1008,0.9627507163323782,5586411.640799993,6586411.640799993,5.586411640799993,1.158196884065656,-122629.99824999925,-0.022996992438135366,0.003537232687254842,0.0017567444108688157,8.629371956186239,0.7390873015873016,0.7918552036199095,0.020814517410033626,0.01781926149252449,6.157262550470831,2.2805429864253393,0.19870499193913552,0,0,2,37,0,1.6744420572891383,442,503131.843575419,503131.843575419,0.01984126984126984,0.8343253968253969,1.0,10,10,1047,110fe76b4764,2627367.6891499963,0.40481326553853325,0.0001375916364836187,-0.7007522458599036,-0.0004846716589079793,0.8180333489797312,8222946.026159577,0.9460681634512764,-0.018831869102135145,True,True,0.5716384558410599,5.163847364783334
closed_limit_up_overnight_469ec41b,closed_limit_up_overnight,closed_limit_up,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1047,1005,0.9598853868194842,5535516.257899996,6535516.257899996,5.535516257899996,1.1513753209008248,-99244.94664999843,-0.02337173569641675,0.0035224313768721463,0.0017845032469836486,8.659211618022539,0.7383084577114428,0.7895927601809954,0.02062579939716849,0.017722544347826087,6.206913966845055,2.273755656108597,0.20075495901338553,0,0,9,33,0,1.6686385726356918,442,503174.30167597765,503174.30167597765,0.01990049751243781,0.835820895522388,1.0,10,10,1047,5d2534c9d21b,2576472.3062499994,0.39799170237370207,-0.000237151621797764,-0.6511008294856797,-0.0005813888036063815,0.8059567979520312,8183775.328766873,0.9430216459631873,-0.017561263201292084,True,True,0.5788925777934246,5.122664495368238
closed_limit_up_overnight_d876251d,closed_limit_up_overnight,closed_limit_up,TPEX,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,578,573,0.9913494809688581,2959043.9516499965,3959043.9516499965,2.9590439516499965,0.7533836185271228,-92739.8232499999,-0.023134584074618984,0.0030517136868054694,0.0012230036078384465,8.421399554011762,0.7643979057591623,0.8018018018018018,0.019714494593083092,0.01830393315143247,6.8580147963307345,1.7207207207207207,0.19853521940274038,0,0,2,3,0,1.2620212522872871,333,331268.28193832596,331268.28193832596,0.03315881326352531,0.8568935427574171,1.0,10,10,578,ee610253d3ba,0.0,0.0,0.0,0.0,0.0,1.0,5918087.903300003,0.7533836185271237,-0.023134584074618957,True,True,1.8041124150158794e-15,2.0000000000000018
closed_limit_up_overnight_c08357db,closed_limit_up_overnight,closed_limit_up,TPEX,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,578,573,0.9913494809688581,2950892.4520999994,3950892.4520999994,2.9508924520999993,0.751909419348668,-92739.82325000037,-0.023181722888556737,0.003047120655362795,0.0012195695936779716,8.419362646184169,0.7661431064572426,0.8018018018018018,0.019649393963033453,0.01830393315143247,6.854701385122381,1.7207207207207207,0.19826036606232722,0,0,2,3,0,1.2604216383104838,333,331557.9295154185,331557.9295154185,0.03315881326352531,0.8568935427574171,1.0,10,10,578,95bed5d12b2a,-8151.499549997039,-0.0014741991784548159,-4.7138813937752655e-05,-0.0033134112083539335,0.0,0.998110138990548,5909987.25558364,0.7526513420133678,-0.023158153669782966,False,False,0.0018898610094519874,-0.006427309100962748
closed_limit_up_overnight_f16ad211,closed_limit_up_overnight,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2869,2091,0.7288253746950157,10301028.70544,11301028.70544,10.30102870544,1.6871899846897294,-377118.03099999996,-0.10276179194426603,0.004165623108155493,0.002850245753526881,8.174292394069504,0.7369679579148732,0.8333333333333334,0.01838560702916152,0.01566982876712329,4.495655794742658,3.7743682310469313,0.22386257432027287,0,0,75,703,0,2.1174062458905736,554,1020151.5306122449,956150.3401360544,0.007651841224294596,0.6465805834528934,1.0,10,10,2869,59ca265e5ab8,7341984.753790003,0.9338063661626066,-0.07962720786964705,-2.362359001588077,-0.00263410438430918,0.4182646285210236,11438697.953425126,1.1739816258857978,-0.048737034801359776,True,False,1.4229313861963264,9.646139663810848
closed_limit_up_overnight_bb5b8e8a,closed_limit_up_overnight,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2869,2093,0.7295224817009411,9707546.914830001,10707546.914830001,9.70754691483,1.6287426187979994,-377118.03099999996,-0.10730357347470108,0.004075252917422995,0.002778616119846755,7.796148268477222,0.7310081223124701,0.8279569892473119,0.017408286914545976,0.015378885927505333,4.236840619424267,3.7779783393501805,0.22969202637257305,1,0,65,710,0,2.037850493654604,554,1016974.0136054421,953628.9455782312,0.008600095556617296,0.6454849498327759,1.0,10,10,2869,d0e4047d2482,6748502.963180005,0.8753590002708767,-0.0841689894000821,-2.621174176906467,-0.0029250472239271356,0.4301845768799026,11082386.986570528,1.1502975940479239,-0.05100792556657735,True,False,1.3636433741616996,8.9803563666904
closed_limit_up_overnight_2203a9f4,closed_limit_up_overnight,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1788,1536,0.8590604026845637,7206254.290429993,8206254.290429993,7.206254290429992,1.358558801253559,-332518.64060000004,-0.11420262418620891,0.00370681165482582,0.002526433826171237,7.323328746343529,0.7513020833333334,0.8277886497064579,0.017446094062068356,0.015638335013504506,4.4615655833152985,3.0058708414872797,0.22193442065338867,0,0,46,206,0,1.7535299667460873,511,773369.268292683,713985.5574912892,0.010416666666666666,0.6790364583333334,1.0,10,10,1788,7ab7481e180e,4247210.338779996,0.6051751827264362,-0.09106804011158992,-2.396449213015436,-0.0026655981379279624,0.5142563675668091,9443190.28549277,1.0360954606828012,-0.05445745092233123,True,False,1.0511673167445479,6.177888795339291
closed_limit_up_overnight_28bd414e,closed_limit_up_overnight,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1788,1534,0.8579418344519015,6898489.167709995,7898489.167709995,6.898489167709995,1.3220919610919233,-299391.1551999999,-0.1060774764255711,0.003639240103313269,0.002530785406991143,7.242078406788949,0.7431551499348109,0.8140900195694716,0.016625888597053613,0.01512402,4.2561970535389735,3.0019569471624266,0.22367236240477162,0,0,50,204,0,1.7169513266637755,511,772487.543554007,713158.7108013937,0.011734028683181226,0.6760104302477183,1.0,10,10,1788,94a513c4b8b7,3939445.2160599986,0.5687083425648005,-0.08294289235095212,-2.601817742791761,-0.0031799131514324685,0.5185475299232456,9224986.137110502,1.020178246086577,-0.05039487704201244,True,False,1.0150417251956627,5.823601075828215
touched_limit_not_closed_overnight_ee84a134,touched_limit_not_closed_overnight,touched_limit_not_closed,TPEX,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,187,187,1.0,-72872.1435,927127.8565,-0.07287214350000004,-0.03074480933089696,-93824.71320000058,-0.09189918903634307,-0.00028540806276581643,-0.00016908827056161257,-1.239463827759801,0.40641711229946526,0.44,-0.0021759986279044135,-0.004798,0.7608565447592753,1.2466666666666666,0.2166725305384091,0,0,0,0,0,-0.03866759523705853,150,122927.22007722007,122927.22007722007,0.0213903743315508,0.839572192513369,0.1,1,10,187,d703d396e281,-3031916.0951499967,-0.7841284278580197,-0.0687646049617241,-6.097158251571459,-0.02310193315143247,0.1342318075296457,1841682.5159719135,0.3052479791638325,-0.021200562679019055,False,True,0.8677022138659543,-1.4748472771504733
