candidate_hash,market,min_turnover_twd,min_volume_ratio_20d,market_regime_filter,ranking_method,momentum_cap,weak_sector_handling,decision,biggest_unresolved_risk,trades,final_equity,total_net_pnl,annualized_return,profit_factor,max_drawdown_pct,median_net_return_per_trade,final_equity_vs_champion,maxdd_vs_champion,pf_vs_champion,correlation_with_champion_daily_returns,combined_final_equity,combined_cagr_like,combined_max_drawdown_pct,combined_improves_cagr,combined_improves_drawdown,diversification_score
097dd332,BOTH,200000000.0,1.5,not_bear,fill_quality_score,none,avoid_healthcare_materials,promote to paper champion candidate,Day0 close limit-up execution/fill probability remains unproven without order-book or broker observations.,1872,10496666.536100004,9496666.536100004,1.607513642480737,5.316511196630084,-0.020399132326290103,0.015530591836734694,6537622.584450007,0.0027354517483288814,-1.5415035997006505,0.46842553642678675,12932048.442854261,1.1401899758579117,-0.0164778613504963,True,True,1.3118439009589138
35adc734,TPEX,300000000.0,1.2,avoid_weak_day,fill_quality_score,30_80,avoid_healthcare_materials_semiconductor_cap_25,promote to paper champion candidate,Day0 close limit-up execution/fill probability remains unproven without order-book or broker observations.,581,4079854.897099998,3079854.897099998,0.7750249024481777,7.711216615893515,-0.012241840112108682,0.01801347328244275,120810.9454500014,0.010892743962510302,0.8532018195627806,0.7833545275190812,8046132.989233797,0.7649001315098933,-0.013969572688177898,True,True,0.24884350983290102
