profile_name,candidate_hash,signal_date,symbol,name,market,sector,industry,close_price,limit_up_price,turnover_twd,volume_ratio_20d,consecutive_limit_up_count,fill_quality_score,planned_entry_price,planned_exit,target_notional_twd,capped_notional_twd,planned_shares,planned_buy_notional_twd,estimated_buy_cost,estimated_cash_required,ranking,notes,execution_warning
broad_challenger_097dd332,097dd332,2026-07-01,3605,宏致,TWSE,Technology/Electronics,Electronic Components,85.6,85.5,1205798807.0,5.467214195352302,1,100.0,85.6,Day1 open,300000.0,200000.0,2000,171200.0,153.9088,171353.9088,1,Ranked by fill_quality_score. Moderate fill proxy reason: moderate_daily_activity_evidence,Paper trade only. Day0 close limit-up fills may not be executable without auction/order-book confirmation.
broad_challenger_097dd332,097dd332,2026-07-01,8182,加高,TPEX,Technology/Electronics,Electronic Components,54.0,54.0,627094588.0,1.5119422766723514,1,100.0,54.0,Day1 open,300000.0,200000.0,3000,162000.0,145.638,162145.638,2,Ranked by fill_quality_score. Moderate fill proxy reason: moderate_daily_activity_evidence,Paper trade only. Day0 close limit-up fills may not be executable without auction/order-book confirmation.
broad_challenger_097dd332,097dd332,2026-07-01,1515,力山,TWSE,Industrials/Other,Electric Machinery,35.45,35.4,212638091.0,2.2517445602976855,1,90.0,35.45,Day1 open,300000.0,200000.0,5000,177250.0,159.34775000000002,177409.34775,3,Ranked by fill_quality_score. Moderate fill proxy reason: moderate_daily_activity_evidence,Paper trade only. Day0 close limit-up fills may not be executable without auction/order-book confirmation.
broad_challenger_097dd332,097dd332,2026-07-01,6909,創控,TWSE,Technology/Electronics,Semiconductor,60.6,60.5,210139975.0,2.672570865760352,1,90.0,60.6,Day1 open,300000.0,200000.0,3000,181800.0,163.4382,181963.4382,4,Ranked by fill_quality_score. Moderate fill proxy reason: moderate_daily_activity_evidence,Paper trade only. Day0 close limit-up fills may not be executable without auction/order-book confirmation.
broad_challenger_097dd332,097dd332,2026-07-01,6224,聚鼎,TWSE,Technology/Electronics,Electronic Components,84.9,84.5,373920364.0,2.597779449738673,2,70.0,84.9,Day1 open,300000.0,200000.0,2000,169800.0,152.6502,169952.6502,5,Ranked by fill_quality_score. Moderate fill proxy reason: moderate_daily_activity_evidence,Paper trade only. Day0 close limit-up fills may not be executable without auction/order-book confirmation.
