profile_name,signal_date,planned_orders,evaluated_orders,missing_day1_data,invalid_price,net_pnl,avg_net_return,win_rate,manual_fill_completion_rate,cumulative_net_pnl,equity,drawdown_twd,drawdown_pct
broad_challenger_097dd332,2026-06-24,5,5,0,0,15793.632499999998,0.01662984940805598,0.8,0.0,15793.632499999998,1015793.6325,0.0,0.0
broad_challenger_097dd332,2026-07-01,5,5,0,0,-4484.75125,-0.00578319477493682,0.4,0.0,11308.881249999999,1011308.88125,-4484.751249999972,-0.004415022014818519
broad_challenger_097dd332,2026-07-02,5,5,0,0,18870.22775,0.02148602813322214,0.6,0.0,30179.108999999997,1030179.1089999999,0.0,0.0
conservative_tpex_35adc734,2026-07-01,1,1,0,0,-2869.0881,-0.0177104203703703,0.0,0.0,-2869.0881,997130.9119,-2869.088100000052,-0.0028690881000000517
original_champion_tpex_500m,2026-07-01,1,1,0,0,-2869.0881,-0.0177104203703703,0.0,0.0,-2869.0881,997130.9119,-2869.088100000052,-0.0028690881000000517
original_champion_tpex_500m,2026-07-02,1,1,0,0,-933.6908,-0.004798,0.0,0.0,-3802.7789,996197.2211,-3802.778900000034,-0.003802778900000034
