profile_name,total_trades,evaluated_trades,pending_trades,cumulative_net_pnl,avg_net_return,median_net_return,win_rate,profit_factor,best_trade_symbol,best_trade_signal_date,best_trade_net_pnl,worst_trade_symbol,worst_trade_signal_date,worst_trade_net_pnl,best_signal_date,best_signal_date_net_pnl,worst_signal_date,worst_signal_date_net_pnl,final_equity,max_drawdown_twd,max_drawdown_pct,manual_observations_completed,manual_observations_missing,execution_confirmed_trades,execution_unconfirmed_trades
broad_challenger_097dd332,15,15,0,30179.108999999993,0.010777560922113768,0.0079181829787234,0.6,3.073448146826256,2483,2026-06-24,11865.3416,6224,2026-07-01,-5994.4256000000005,2026-07-02,18870.22775,2026-07-01,-4484.75125,1030179.1089999999,-4484.751249999972,-0.004415022014818519,0,15,0,15
conservative_tpex_35adc734,1,1,0,-2869.0881,-0.0177104203703703,-0.0177104203703703,0.0,0.0,8182,2026-07-01,-2869.0881,8182,2026-07-01,-2869.0881,2026-07-01,-2869.0881,2026-07-01,-2869.0881,997130.9119,-2869.088100000052,-0.0028690881000000517,0,1,0,1
original_champion_tpex_500m,2,2,0,-3802.7789,-0.01125421018518515,-0.01125421018518515,0.0,0.0,3317,2026-07-02,-933.6908,8182,2026-07-01,-2869.0881,2026-07-02,-933.6908,2026-07-01,-2869.0881,996197.2211,-3802.778900000034,-0.003802778900000034,0,2,0,2
